dataset,trial,obs_fraction,noise_fraction,candidate,candidate_family,accepted_by_noharm,chosen_safe_output,radius,baseline_radius,certificate_ratio,hidden_rel_error,baseline_hidden_rel_error,hidden_error_ratio,data_residual,pde_residual,physics_necessary,physics_rejected,unsafe_if_selected,notes
burgers,1,0.03,0.0,data_only_lowrank,data_only,True,physics_filtered_s0.8,1793461853.3947756,1816073367.817434,0.987549228559068,0.14364758670953454,0.1435420721009602,1.0007350779184752,0.0,4.00641229290461,True,False,False,data-driven candidate without PDE residual selection
burgers,1,0.03,0.0,risky_sensor_overfit,risky,False,physics_filtered_s0.8,6893312840.877935,1816073367.817434,3.795723764818132,0.24666965120184414,0.1435420721009602,1.718448449222823,0.0,9.206578988978862,True,False,False,fits observed points but injects high-frequency nonphysical structure
burgers,1,0.03,0.0,underfit_oversmooth,underfit,False,physics_filtered_s0.8,1862361197.3959649,1816073367.817434,1.025487863210152,0.1444724921457354,0.1435420721009602,1.0064818629837968,0.07251958731229621,0.960396988175582,True,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
burgers,1,0.03,0.0,physics_filtered_s0.4,physics_informed,False,physics_filtered_s0.8,1782652320.7442145,1816073367.817434,0.9815970832095924,0.1418246081948416,0.1435420721009602,0.9880351183317274,0.0006140682315304337,3.6927753908130945,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,1,0.03,0.0,physics_filtered_s0.8,physics_informed,True,physics_filtered_s0.8,1739775678.4507747,1816073367.817434,0.9579875512087078,0.13453484422973327,0.1435420721009602,0.9372502588242633,0.005724010066688618,2.1679222422774584,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,1,0.03,0.0,physics_filtered_s1.3,physics_informed,True,physics_filtered_s0.8,1741450003.5408413,1816073367.817434,0.9589094991430465,0.13275054820049978,0.1435420721009602,0.9248197845869535,0.01246838682171437,1.5655296558759362,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,1,0.03,0.0,physics_filtered_s2,physics_informed,False,physics_filtered_s0.8,1773713869.3408453,1816073367.817434,0.9766752273188739,0.1352006546159619,0.1435420721009602,0.9418886925355705,0.026911393022097423,1.2357402461752736,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,2,0.03,0.0,data_only_lowrank,data_only,True,physics_filtered_s1.3,1927006704.4423692,1975168319.9972045,0.9756164499667028,0.14715285011979676,0.14714260830036277,1.0000696047090114,0.0,2.7744953418128078,True,False,False,data-driven candidate without PDE residual selection
burgers,2,0.03,0.0,risky_sensor_overfit,risky,False,physics_filtered_s1.3,5847913739.4546385,1975168319.9972045,2.960716653992767,0.24658137377720216,0.14714260830036277,1.675798578153371,0.0,8.921429613281287,True,False,False,fits observed points but injects high-frequency nonphysical structure
burgers,2,0.03,0.0,underfit_oversmooth,underfit,False,physics_filtered_s1.3,1817678577.6572597,1975168319.9972045,0.9202651537362811,0.1463347342847571,0.14714260830036277,0.9945095847767557,0.07227713964509722,0.9648320486555247,True,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
burgers,2,0.03,0.0,physics_filtered_s0.4,physics_informed,False,physics_filtered_s1.3,1888961732.008177,1975168319.9972045,0.9563548143637959,0.14562192876247299,0.14714260830036277,0.9896652672095136,0.0007012283014237614,2.6231699536810487,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,2,0.03,0.0,physics_filtered_s0.8,physics_informed,True,physics_filtered_s1.3,1710566882.1802225,1975168319.9972045,0.866036005570727,0.13831615788067764,0.14714260830036277,0.9400143131715615,0.006105897521730097,1.8970262474904291,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,2,0.03,0.0,physics_filtered_s1.3,physics_informed,True,physics_filtered_s1.3,1654181521.8603427,1975168319.9972045,0.837488888978679,0.1351175751190478,0.14714260830036277,0.9182763353107992,0.012943006250229799,1.5137583369391387,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,2,0.03,0.0,physics_filtered_s2,physics_informed,False,physics_filtered_s1.3,1682597122.941503,1975168319.9972045,0.8518753090085428,0.13679711729667857,0.14714260830036277,0.9296907189282957,0.027147273183066097,1.2220713455584766,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,3,0.03,0.0,data_only_lowrank,data_only,True,physics_filtered_s1.3,1606178322.6207497,1642111444.6928968,0.9781177323936944,0.15180009616501663,0.15193082514505357,0.9991395493250874,0.0,3.4697615253575136,True,False,False,data-driven candidate without PDE residual selection
burgers,3,0.03,0.0,risky_sensor_overfit,risky,False,physics_filtered_s1.3,5511363112.349918,1642111444.6928968,3.3562661841021626,0.24905877637814675,0.15193082514505357,1.6392906188637,0.0,9.091577759135063,True,False,False,fits observed points but injects high-frequency nonphysical structure
burgers,3,0.03,0.0,underfit_oversmooth,underfit,False,physics_filtered_s1.3,1643010556.0562809,1642111444.6928968,1.0005475337050296,0.1456761425504324,0.15193082514505357,0.9588320369509713,0.07189196647876037,0.8679020271248103,True,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
burgers,3,0.03,0.0,physics_filtered_s0.4,physics_informed,False,physics_filtered_s1.3,1597554240.6623125,1642111444.6928968,0.9728659073812634,0.15048475787269103,0.15193082514505357,0.9904820679281349,0.0006405431815856731,3.1992087636541107,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,3,0.03,0.0,physics_filtered_s0.8,physics_informed,True,physics_filtered_s1.3,1554314719.2466998,1642111444.6928968,0.9465342466676392,0.14488490627402215,0.15193082514505357,0.9536241650418336,0.005846637399016034,1.9130934881245036,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,3,0.03,0.0,physics_filtered_s1.3,physics_informed,True,physics_filtered_s1.3,1523726375.712066,1642111444.6928968,0.9279067998926401,0.1422970685285058,0.15193082514505357,0.9365911650365442,0.012644880114590137,1.4267903420690589,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,3,0.03,0.0,physics_filtered_s2,physics_informed,False,physics_filtered_s1.3,1533690398.7625616,1642111444.6928968,0.9339746116009734,0.14158649433685216,0.15193082514505357,0.9319142063550485,0.027035530027107475,1.1376612781039943,True,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,4,0.03,0.0,data_only_lowrank,data_only,True,physics_filtered_s1.3,1532498793.4659965,1553408447.2969425,0.9865395003694422,0.16130381998977883,0.16145471449923487,0.9990654066007107,0.0,3.160388742585947,False,False,False,data-driven candidate without PDE residual selection
burgers,4,0.03,0.0,risky_sensor_overfit,risky,False,physics_filtered_s1.3,6380710595.987674,1553408447.2969425,4.107554975055422,0.25509723239630044,0.16145471449923487,1.5799924652923611,0.0,8.916620990090136,False,False,False,fits observed points but injects high-frequency nonphysical structure
