dataset,obs_fraction,noise_fraction,cases,physics_necessary_rate,physics_unnecessary_rate,physics_rejected_rate,mean_physics_gain,mean_data_only_error,mean_physics_error
allen_cahn,0.03,0.0,5,0.6,0.2,0.0,0.003356196985933549,0.055376693325853196,0.052020496339919654
allen_cahn,0.03,0.01,5,0.8,0.0,0.0,0.0031333011088827425,0.047837480417591074,0.04470417930870833
allen_cahn,0.03,0.03,5,1.0,0.0,0.0,0.005191455366740816,0.05212087541508005,0.046929420048339235
allen_cahn,0.03,0.05,5,1.0,0.0,0.0,0.005592292553552798,0.0605397236554566,0.05494743110190381
allen_cahn,0.05,0.0,5,1.0,0.0,0.0,0.00457592986710451,0.04352487192524642,0.038948942058141915
allen_cahn,0.05,0.01,5,0.6,0.2,0.0,0.002022116191726062,0.033410111312106916,0.03138799512038085
allen_cahn,0.05,0.03,5,1.0,0.0,0.0,0.0062905995677603795,0.04575600691137266,0.03946540734361228
allen_cahn,0.05,0.05,5,1.0,0.0,0.0,0.008755320983622417,0.055108266793254514,0.046352945809632104
allen_cahn,0.1,0.0,5,0.2,0.4,0.0,-7.133024582864772e-05,0.016513902985248914,0.01658523323107756
allen_cahn,0.1,0.01,5,0.2,0.0,0.0,0.0009398473955666293,0.019523634536439315,0.018583787140872686
allen_cahn,0.1,0.03,5,1.0,0.0,0.0,0.007185113083241384,0.03045612447917146,0.023271011395930075
allen_cahn,0.1,0.05,5,1.0,0.0,0.0,0.01237595865587239,0.04204691384104502,0.02967095518517262
allen_cahn,0.2,0.0,5,0.0,0.2,0.0,-0.0008619865571878018,0.009233755094179195,0.010095741651366997
allen_cahn,0.2,0.01,5,1.0,0.0,0.0,0.0016214476628641631,0.012618532871143683,0.010997085208279522
allen_cahn,0.2,0.03,5,1.0,0.0,0.0,0.011355919829260947,0.025380747796636953,0.014024827967376008
allen_cahn,0.2,0.05,5,1.0,0.0,0.0,0.020833412513761425,0.04210344929352653,0.021270036779765106
burgers,0.03,0.0,5,0.6,0.2,0.0,0.007205851888075909,0.150238825223271,0.1430329733351951
burgers,0.03,0.01,5,0.0,0.2,0.0,0.003692510493930995,0.13729124734099635,0.13359873684706536
burgers,0.03,0.03,5,0.6,0.4,0.0,0.00709941566626233,0.13606243881164154,0.1289630231453792
burgers,0.03,0.05,5,0.4,0.2,0.0,0.005324523808221543,0.15273333773417322,0.14740881392595168
burgers,0.05,0.0,5,0.0,0.6,0.0,0.0021020051761823947,0.11142190015215821,0.1093198949759758
burgers,0.05,0.01,5,0.2,0.4,0.0,0.0026857317205595784,0.10537541140909235,0.10268967968853275
burgers,0.05,0.03,5,0.2,0.4,0.0,0.003950376208260211,0.1262860136903241,0.12233563748206389
burgers,0.05,0.05,5,0.2,0.0,0.0,0.0046699718164510354,0.11636655827396473,0.11169658645751371
burgers,0.1,0.0,5,0.2,0.4,0.2,0.0026495064331968853,0.08457801218048253,0.08192850574728563
burgers,0.1,0.01,5,0.2,0.6,0.0,0.001618233205191072,0.08051120166169337,0.0788929684565023
burgers,0.1,0.03,5,0.2,0.6,0.0,0.0007910581028871627,0.07843568550898898,0.07764462740610181
burgers,0.1,0.05,5,1.0,0.0,0.0,0.005945236265478581,0.09148458506926693,0.08553934880378836
burgers,0.2,0.0,5,0.0,0.4,0.8,0.0006972331185012518,0.05594036563379305,0.0552431325152918
burgers,0.2,0.01,5,0.2,0.2,0.4,0.001967172673615654,0.06203582133455854,0.06006864866094289
burgers,0.2,0.03,5,0.2,0.2,0.0,-0.000724568723902895,0.05802753116245046,0.05875209988635336
burgers,0.2,0.05,5,1.0,0.0,0.0,0.007509176342984683,0.0663768669073464,0.05886769056436172
kdv,0.03,0.0,5,1.0,0.0,0.0,0.00546171487849387,0.052105889384003866,0.04664417450551
